"Uge";"Aldersgruppe";"Vaccinationsstatus";"Bekræftede tilfælde";"sort_Var";"Befolkningstørrelse";"Bekræftede tilfælde pr. 100.000"
2020-U52;5-11;Uvaccinerede;1404;0;436558;321,61
2020-U52;5-11;1. stik;0;1;0;0,00
2020-U52;5-11;2. stik;0;2;0;0,00
2020-U52;5-11;3. stik;0;3;0;0,00
2020-U52;12-15;Uvaccinerede;784;0;299024;262,19
2020-U52;12-15;1. stik;0;1;0;0,00
2020-U52;12-15;2. stik;0;2;0;0,00
2020-U52;12-15;3. stik;0;3;0;0,00
2020-U52;16-19;Uvaccinerede;1063;0;279602;380,18
2020-U52;16-19;1. stik;1;1;1;100000,00
2020-U52;16-19;2. stik;0;2;0;0,00
2020-U52;16-19;3. stik;0;3;0;0,00
2020-U52;20-39;Uvaccinerede;5221;0;1495563;349,10
2020-U52;20-39;1. stik;5;1;8;62500,00
2020-U52;20-39;2. stik;0;2;0;0,00
2020-U52;20-39;3. stik;0;3;0;0,00
2020-U52;40-64;Uvaccinerede;5893;0;1907216;308,98
2020-U52;40-64;1. stik;3;1;7;42857,14
2020-U52;40-64;2. stik;0;2;0;0,00
2020-U52;40-64;3. stik;0;3;0;0,00
2020-U52;65-79;Uvaccinerede;1472;0;887385;165,88
2020-U52;65-79;1. stik;0;1;1;0,00
2020-U52;65-79;2. stik;0;2;0;0,00
2020-U52;65-79;3. stik;0;3;0;0,00
2020-U52;80+;Uvaccinerede;686;0;259636;264,22
2020-U52;80+;1. stik;0;1;3;0,00
2020-U52;80+;2. stik;0;2;0;0,00
2020-U52;80+;3. stik;0;3;0;0,00
2020-U53;5-11;Uvaccinerede;878;0;436558;201,12
2020-U53;5-11;1. stik;0;1;0;0,00
2020-U53;5-11;2. stik;0;2;0;0,00
2020-U53;5-11;3. stik;0;3;0;0,00
2020-U53;12-15;Uvaccinerede;637;0;299023;213,03
2020-U53;12-15;1. stik;0;1;2;0,00
2020-U53;12-15;2. stik;0;2;0;0,00
2020-U53;12-15;3. stik;0;3;0;0,00
2020-U53;16-19;Uvaccinerede;852;0;279520;304,81
2020-U53;16-19;1. stik;0;1;84;0,00
