"Uge";"Aldersgruppe";"Vaccinationsstatus";"Antal nyindlagte";"sort_Var";"Befolkningstørrelse";"Nyindlagte pr. 100.000"
2020-U52;5-11;Uvaccinerede;4;0;436558;0,92
2020-U52;12-15;Uvaccinerede;2;0;299024;0,67
2020-U52;16-19;Uvaccinerede;7;0;279602;2,50
2020-U52;20-39;Uvaccinerede;100;0;1495563;6,69
2020-U52;40-64;Uvaccinerede;332;0;1907216;17,41
2020-U52;65-79;Uvaccinerede;329;0;887385;37,08
2020-U52;80+;Uvaccinerede;275;0;259636;105,92
2020-U53;5-11;Uvaccinerede;1;0;436558;0,23
2020-U53;16-19;Uvaccinerede;11;0;279520;3,94
2020-U53;16-19;1. stik;0;1;84;0,00
2020-U53;20-39;Uvaccinerede;89;0;1490188;5,97
2020-U53;20-39;1. stik;0;1;5384;0,00
2020-U53;40-64;Uvaccinerede;286;0;1895683;15,09
2020-U53;40-64;1. stik;0;1;11541;0,00
2020-U53;65-79;Uvaccinerede;305;0;884560;34,48
2020-U53;65-79;1. stik;4;1;2826;141,54
2020-U53;80+;Uvaccinerede;280;0;256022;109,37
2020-U53;80+;1. stik;16;1;3617;442,36
2021-U01;5-11;Uvaccinerede;2;0;436558;0,46
2021-U01;12-15;Uvaccinerede;2;0;299022;0,67
2021-U01;16-19;Uvaccinerede;5;0;279268;1,79
2021-U01;16-19;1. stik;0;1;336;0,00
2021-U01;20-39;Uvaccinerede;72;0;1480246;4,86
2021-U01;20-39;1. stik;3;1;15325;19,58
2021-U01;40-64;Uvaccinerede;233;0;1870141;12,46
2021-U01;40-64;1. stik;7;1;37083;18,88
2021-U01;65-79;Uvaccinerede;246;0;877125;28,05
2021-U01;65-79;1. stik;22;1;10261;214,40
2021-U01;80+;Uvaccinerede;236;0;245484;96,14
2021-U01;80+;1. stik;42;1;14155;296,71
2021-U02;5-11;Uvaccinerede;1;0;436558;0,23
2021-U02;12-15;Uvaccinerede;1;0;299022;0,33
2021-U02;16-19;Uvaccinerede;3;0;279062;1,08
2021-U02;16-19;1. stik;0;1;542;0,00
2021-U02;20-39;Uvaccinerede;48;0;1471591;3,26
2021-U02;20-39;1. stik;1;1;23981;4,17
2021-U02;40-64;Uvaccinerede;178;0;1849550;9,62
2021-U02;40-64;1. stik;15;1;57672;26,01
2021-U02;65-79;Uvaccinerede;183;0;868663;21,07
2021-U02;65-79;1. stik;34;1;18723;181,59
2021-U02;80+;Uvaccinerede;139;0;235644;58,99
2021-U02;80+;1. stik;63;1;23995;262,55
2021-U03;5-11;Uvaccinerede;1;0;436557;0,23
2021-U03;12-15;Uvaccinerede;1;0;299021;0,33
2021-U03;16-19;Uvaccinerede;4;0;278906;1,43
2021-U03;16-19;1. stik;0;1;697;0,00
2021-U03;20-39;Uvaccinerede;44;0;1465468;3,00
2021-U03;20-39;1. stik;2;1;30101;6,64
2021-U03;40-64;Uvaccinerede;145;0;1836862;7,89
2021-U03;40-64;1. stik;12;1;70358;17,06
2021-U03;65-79;Uvaccinerede;130;0;859899;15,12
2021-U03;65-79;1. stik;24;1;27487;87,31
2021-U03;80+;Uvaccinerede;105;0;226102;46,44
2021-U03;80+;1. stik;60;1;33537;178,91
2021-U04;12-15;Uvaccinerede;0;0;299019;0,00
2021-U04;16-19;Uvaccinerede;3;0;278861;1,08
2021-U04;16-19;1. stik;0;1;743;0,00
2021-U04;20-39;Uvaccinerede;41;0;1464502;2,80
