Dato,Antal 1. stik,Antal 2. stik,Antal 3. stik,Antal 4. stik,Antal borgere,Samlet antal 1. stik,Samlet antal 2. stik,Samlet antal 3. stik,Samlet antal 4. stik,Samlet dækning 1. stik (%),Samlet dækning 2. stik (%),Samlet dækning 3. stik (%),Samlet dækning 4. stik (%)
12/8/20,1,0,0,0,5935592,1,0,0,0,0,0,0,0
12/11/20,1,0,0,0,5935592,2,0,0,0,0,0,0,0
12/15/20,1,0,0,0,5935592,3,0,0,0,0,0,0,0
12/16/20,1,0,0,0,5935592,4,0,0,0,0,0,0,0
12/17/20,2,0,0,0,5935592,6,0,0,0,0,0,0,0
12/18/20,1,0,0,0,5935592,7,0,0,0,0,0,0,0
12/19/20,1,0,0,0,5935592,8,0,0,0,0,0,0,0
12/20/20,2,0,0,0,5935592,10,0,0,0,0,0,0,0
12/21/20,3,0,0,0,5935592,13,0,0,0,0,0,0,0
12/22/20,5,0,0,0,5935592,18,0,0,0,0,0,0,0
12/23/20,5,0,0,0,5935592,23,0,0,0,0,0,0,0
12/24/20,4,0,0,0,5935592,27,0,0,0,0,0,0,0
12/26/20,5,0,0,0,5935592,32,0,0,0,0,0,0,0
12/27/20,5355,0,0,0,5935592,5387,0,0,0,0.09,0,0,0
12/28/20,1838,0,0,0,5935592,7225,0,0,0,0.12,0,0,0
12/29/20,7751,1,0,0,5935592,14976,1,0,0,0.25,0,0,0
12/30/20,9953,0,0,0,5935592,24929,1,0,0,0.42,0,0,0
12/31/20,5051,0,0,0,5935592,29980,1,0,0,0.51,0,0,0
1/1/21,1907,0,0,0,5935592,31887,1,0,0,0.54,0,0,0
1/2/21,7169,0,0,0,5935592,39056,1,0,0,0.66,0,0,0
1/3/21,4634,0,0,0,5935592,43690,1,0,0,0.74,0,0,0
1/4/21,2237,0,0,0,5935592,45927,1,0,0,0.77,0,0,0
1/5/21,11363,0,0,0,5935592,57290,1,0,0,0.97,0,0,0
1/6/21,16201,0,0,0,5935592,73491,1,0,0,1.24,0,0,0
1/7/21,14335,1,0,0,5935592,87826,2,0,0,1.48,0,0,0
1/8/21,6982,1,0,0,5935592,94808,3,0,0,1.6,0,0,0
1/9/21,1774,2,0,0,5935592,96582,5,0,0,1.63,0,0,0
1/10/21,819,0,0,0,5935592,97401,5,0,0,1.64,0,0,0
1/11/21,664,0,0,0,5935592,98065,5,0,0,1.65,0,0,0
1/12/21,467,2,0,0,5935592,98532,7,0,0,1.66,0,0,0
1/13/21,11372,6,0,0,5935592,109904,13,0,0,1.85,0,0,0
1/14/21,15579,1,0,0,5935592,125483,14,0,0,2.11,0,0,0
1/15/21,13048,5,0,0,5935592,138531,19,0,0,2.33,0,0,0
1/16/21,3918,10,0,0,5935592,142449,29,0,0,2.4,0,0,0
1/17/21,1976,553,0,0,5935592,144425,582,0,0,2.43,0.01,0,0
1/18/21,3272,1743,0,0,5935592,147697,2325,0,0,2.49,0.04,0,0
1/19/21,2159,1700,0,0,5935592,149856,4025,0,0,2.52,0.07,0,0
1/20/21,1322,1536,0,0,5935592,151178,5561,0,0,2.55,0.09,0,0
1/21/21,1355,1945,0,0,5935592,152533,7506,0,0,2.57,0.13,0,0
1/22/21,600,4754,0,0,5935592,153133,12260,0,0,2.58,0.21,0,0
