Date,NewPositive,Tested,Nt,Ct,nt,ct,Dnt,Dct,Weekday,Month,Year,Day
2020-01-27,          0,          0,0,0,0.0,0.0,,,Monday,January,2020,1
2020-01-28,          0,          0,0,0,0.0,0.0,0.0,0.0,Tuesday,January,2020,2
2020-01-29,          0,          0,0,0,0.0,0.0,0.0,0.0,Wednesday,January,2020,3
2020-01-30,          0,          0,0,0,0.0,0.0,0.0,0.0,Thursday,January,2020,4
2020-01-31,          0,          0,0,0,0.0,0.0,0.0,0.0,Friday,January,2020,5
2020-02-01,          0,          0,0,0,0.0,0.0,0.0,0.0,Saturday,February,2020,6
2020-02-02,          0,          1,1,0,0.0,0.0,0.0,0.0,Sunday,February,2020,7
2020-02-03,          0,          0,0,0,0.0,0.0,0.0,0.0,Monday,February,2020,1
2020-02-04,          0,          0,0,0,0.0,0.0,0.0,0.0,Tuesday,February,2020,2
2020-02-05,          0,          0,0,0,0.0,0.0,0.0,0.0,Wednesday,February,2020,3
2020-02-06,          0,          0,0,0,0.0,0.0,0.0,0.0,Thursday,February,2020,4
2020-02-07,          0,          0,0,0,0.0,0.0,0.0,0.0,Friday,February,2020,5
2020-02-08,          0,          0,0,0,0.0,0.0,0.0,0.0,Saturday,February,2020,6
2020-02-09,          0,          0,0,0,0.0,0.0,0.0,0.0,Sunday,February,2020,7
2020-02-10,          0,          0,0,0,0.0,0.0,0.0,0.0,Monday,February,2020,1
2020-02-11,          0,          0,0,0,0.0,0.0,0.0,0.0,Tuesday,February,2020,2
2020-02-12,          0,          0,0,0,0.0,0.0,0.0,0.0,Wednesday,February,2020,3
2020-02-13,          0,          1,1,0,0.0,0.0,0.0,0.0,Thursday,February,2020,4
2020-02-14,          0,          0,0,0,0.0,0.0,0.0,0.0,Friday,February,2020,5
2020-02-15,          0,          0,0,0,0.0,0.0,0.0,0.0,Saturday,February,2020,6
2020-02-16,          0,          0,0,0,0.0,0.0,0.0,0.0,Sunday,February,2020,7
2020-02-17,          0,          1,1,0,0.0,0.0,0.0,0.0,Monday,February,2020,1
2020-02-18,          0,          2,2,0,0.6931471805599453,0.0,0.6931471805599453,0.0,Tuesday,February,2020,2
2020-02-19,          0,          2,2,0,0.6931471805599453,0.0,0.0,0.0,Wednesday,February,2020,3
2020-02-20,          0,          1,1,0,0.0,0.0,-0.6931471805599453,0.0,Thursday,February,2020,4
2020-02-21,          0,          0,0,0,0.0,0.0,0.0,0.0,Friday,February,2020,5
2020-02-22,          0,          1,1,0,0.0,0.0,0.0,0.0,Saturday,February,2020,6
2020-02-23,          0,          0,0,0,0.0,0.0,0.0,0.0,Sunday,February,2020,7
2020-02-24,          0,          0,0,0,0.0,0.0,0.0,0.0,Monday,February,2020,1
2020-02-25,          0,         10,10,0,2.302585092994046,0.0,2.302585092994046,0.0,Tuesday,February,2020,2
2020-02-26,          1,         30,30,1,3.4011973816621555,0.0,1.0986122886681096,0.0,Wednesday,February,2020,3
