Municipality,Population
Copenhagen,549050
Aarhus,314545
Aalborg,201142
Odense,191610
Esbjerg,115112
Vejle,108021
Frederiksberg,100215
Randers,95756
Viborg,93819
Kolding,89412
Silkeborg,89328
Herning,86348
Horsens,83598
Roskilde,83137
Næstved,81012
Slagelse,77310
Sønderborg,76094
Gentofte,72814
Holbæk,69415
Hjørring,66178
Gladsaxe,65303
Guldborgsund,61913
Helsingør,61493
Frederikshavn,61158
Aabenraa,59600
Svendborg,58551
Skanderborg,58008
Ringkøbing-Skjern,57892
Køge,57307
Holstebro,57153
Haderslev,56188
Rudersdal,54630
Lyngby-Taarbæk,53251
Faaborg-Midtfyn,51635
Hvidovre,50600
Varde,50193
Fredericia,50193
Kalundborg,48632
Hillerød,48203
Høje-Taastrup,48081
Ballerup,47994
Greve,47942
Skive,47620
Favrskov,47117
Hedensted,46029
Vordingborg,45804
Lolland,45241
Thisted,44908
Frederikssund,44345
Vejen,42785
Mariagerfjord,42429
Egedal,41821
Syddjurs,41815
Assens,41443
Bornholm,41303
Tårnby,41151
Ikast-Brande,40658
Gribskov,40603
Fredensborg,39565
Tønder,39083
Jammerbugt,38611
Furesø,38243
Norddjurs,37876
Middelfart,37612
Vesthimmerland,37534
Rødovre,36883
Brønderslev,35754
Faxe,35110
Brøndby,34084
Ringsted,33153
Odsherred,32640
Nyborg,31486
Halsnæs,30980
Sorø,29393
Nordfyn,29330
Rebild,28911
Albertslund,27864
Lejre,26887
Herlev,26608
Billund,26220
Hørsholm,24365
Allerød,24043
Kerteminde,23793
Struer,22098
Stevns,21855
Odder,21749
Glostrup,21650
Morsø,21474
Lemvig,21384
Solrød,21156
Ishøj,21087
Vallensbæk,14565
Dragør,13692
Langeland,13094
Ærø,6636
Samsø,3889
Fanø,3251
Læsø,1897
